sk_d_disciplina,cod_disciplina,nome_disciplina
fda4e3e03c9959e57ece6833bd5d16a0746f66b116d6489e1f6effed15689507,MAB004,Aprendizado de Máquina
8158ebac8dae1b2e7d4da2375a2a5d69c29dec9500480aa438acad0e4e92744f,MAB478,Métodos Numéricos I
291fe15e36f8a35d467d3536e2d6c536bd9418e6610f227b945d62c03e71a17f,MAB535,Modelagem de Sistemas Inform I
c48d5518aa1a2c50460fed03089c688d323629c0d27e52a4e2d812602b3748da,MAB606,Tóp Esp em Programação
7a34c5f7a9fe0cb7470122187e847d0500ba90db42ffe4ad726ec2a3e1f71951,MCG023,Método Elementos Finitos I
1ae966abb9565434ed7a26fd46d29f1301de73b550c1523bad814059b0e46459,NCG016,Computação e Finanças
3c0a6e1744e9883f43dcdc0a10b4b398c6c66e5520a1a1affd5b3121de657429,MAB243,Organizacao de Dados I
373484b59d7ff528345e2fa657e5b4be6603fc64518c348768a41db9d552dc12,MAB539,Desenvolvimento Ágil
94932627bbf4b3e04561dcc03eca9fb6d02980c5f0867edc8c17b7e12b131744,EEG111,Fundamentos de Desenho Técnico
af57e6488fe2e23700d6836155c18f2f69a3fe584972812269bc7aeca9cb1e3c,EQE040,Introdução À Metodo Científica
f4c6992538c24a898d0ac08a7f9522fe98339551cbfd009c1ca78d53d48d1a9d,EQE112,Introdução Cálculos Processos
a1382e64e3d6a45e62da053519f5093420e57b29a597edd7ab450e96350549c1,EQW112,Introdução Proc Quím Bioquímic
3671a8db3712c64d799804b8fc6daf791d1a9226bc3611bbda8cb6413d45e8a9,IQG115,Química Geral Eq
93d72b90625c90fade2a09b248a68f96774a3b750653d62928a315595d702f89,IQA121,Química Analítica
6eaf361b3733151deeec26fd037ef3deefaef3f7e701d1e06f711f5d3a6d13f2,IQA122,Química Analítica Exp. I
a037ff9957ce6f9c76c9d92ccf538006cbea3127c36878f84eac2d891e88b83f,IQO128,Química Orgânica I - EQ
ef00fc5d4e58418c10c593777b8ef18a09055d714281482926a6d0aeb6d333a1,IQO130,Química Orgânica Exp. I - EQ
caf4a682eb980de4d670a570fb2e6d07de3970b24b994cfe1ac848856d52ad6a,FIN231,Física Experimental III
bf55dbf3f93aded37c8daf875818564d834bbb932205195b00f701560df57554,IQG231,Química Experimental EQ
