sk_d_aluno,sk_d_periodo,sk_d_curso,cr_periodo,cr_acumulado
d8f548dedc438e25dabc4184ee96adb398c5f8d23bb9c81a8509b28a90458e51,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,8.5,7.6
d8f548dedc438e25dabc4184ee96adb398c5f8d23bb9c81a8509b28a90458e51,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,8.4,7.6
d8f548dedc438e25dabc4184ee96adb398c5f8d23bb9c81a8509b28a90458e51,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.7,7.7
2564f21bc22c36871d6dd583fc75326a896f8ba5b83db27c8bfc0879dab77655,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,6.2,6.2
2564f21bc22c36871d6dd583fc75326a896f8ba5b83db27c8bfc0879dab77655,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,3.9,5.1
2564f21bc22c36871d6dd583fc75326a896f8ba5b83db27c8bfc0879dab77655,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,4.3,4.9
2564f21bc22c36871d6dd583fc75326a896f8ba5b83db27c8bfc0879dab77655,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.9,5.6
2564f21bc22c36871d6dd583fc75326a896f8ba5b83db27c8bfc0879dab77655,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,8.4,6.2
2564f21bc22c36871d6dd583fc75326a896f8ba5b83db27c8bfc0879dab77655,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.5,6.4
2564f21bc22c36871d6dd583fc75326a896f8ba5b83db27c8bfc0879dab77655,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,7.5,6.4
4ea837ac2e51fbac23f73aff0a9dd25089f67d3e4b1b5355219dc8f254f4653d,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,8.7,8.7
4ea837ac2e51fbac23f73aff0a9dd25089f67d3e4b1b5355219dc8f254f4653d,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,9.3,8.9
4ea837ac2e51fbac23f73aff0a9dd25089f67d3e4b1b5355219dc8f254f4653d,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,7.7,8.4
4ea837ac2e51fbac23f73aff0a9dd25089f67d3e4b1b5355219dc8f254f4653d,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,6.7,7.9
4ea837ac2e51fbac23f73aff0a9dd25089f67d3e4b1b5355219dc8f254f4653d,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,7.6,7.9
4ea837ac2e51fbac23f73aff0a9dd25089f67d3e4b1b5355219dc8f254f4653d,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,7.4,7.8
